window id,buffer size,humidity_lost,light_lost,temp_lost,procces time
2,40001,75218,74312,74643,3422
3,40001,75240,74314,74630,2971
4,40001,75116,74274,74585,2976
5,40001,75519,74618,75040,3015
6,40001,75185,74391,74636,2902
7,40001,75019,74129,74524,3017
