window id,buffer size,humidity_lost,light_lost,temp_lost,procces time
1,212,0,0,0,2193
2,49973,33092,32706,32879,2478
3,49981,33116,32692,32844,2320
4,49972,33021,32687,32864,2219
5,49962,33117,32726,32935,2266
6,49971,33093,32704,32856,2264
7,49967,33125,32732,32916,2367
