window id,buffer size,humidity_lost,light_lost,temp_lost,procces time
2,200001,21579,21388,21546,2457
3,199943,21577,21398,21454,2634
4,199956,21545,21251,21335,2847
5,199952,21547,21348,21369,3439
6,199989,20666,20622,20756,3458
7,199970,19576,19547,19670,2661
