window id,buffer size,humidity_lost,light_lost,temp_lost,procces time
15,40001,3291,3106,3191,8086
16,40001,3155,3184,3241,7955
17,40001,3163,3109,3279,10116
18,40001,3166,3208,3201,7515
19,40001,3183,3180,3213,7363
20,40001,3126,3015,3080,8267
2,40001,1981,1893,2468,7621
3,40001,2613,2602,2660,7264
4,40001,3760,3725,3683,7164
5,40001,3184,3206,3223,7063
6,40001,2833,2833,2833,7423
7,40001,3595,3483,3447,7288
8,40001,3260,3152,3225,7609
9,40001,3225,3275,3185,7602
10,40001,3042,3024,3065,8559
11,40001,3297,3295,3326,8088
12,40001,3190,3089,3217,7598
13,40001,3088,3087,3088,7194
14,40001,3332,3247,3289,8188
