window id,buffer size,humidity_lost,light_lost,temp_lost,procces time
2,40001,75228,74446,74772,9609
3,40001,75316,74340,74731,7483
4,40001,69099,68558,68780,7101
5,40001,75184,74329,74653,7071
6,40001,73586,70619,72070,7537
7,40001,74980,74106,73184,10740
