window id,buffer size,humidity_lost,light_lost,temp_lost,procces time
2,40001,35193,34867,35038,2523
3,39962,37736,37270,37387,2368
4,39959,35935,35528,35723,5361
5,39961,36680,36313,36454,2421
6,39983,36583,36149,36298,2645
7,39974,36569,36155,36335,2735
